Time (s),System Output,ControllerOutput
1.849999,1.060689,0.082457
1.859999,1.061301,0.081018
1.869999,1.061899,0.079606
1.879999,1.062483,0.078215
1.889999,1.063052,0.076850
1.899999,1.063608,0.075506
1.909999,1.064150,0.074188
1.919999,1.064679,0.072891
1.929999,1.065195,0.071614
1.939999,1.065698,0.070363
1.949998,1.066188,0.069129
1.959998,1.066666,0.067919
1.969998,1.067132,0.066730
1.979998,1.067585,0.065557
1.989998,1.068027,0.064410
1.999998,1.068458,0.063279
2.009999,1.068877,0.062170
2.019999,1.069284,0.061076
2.029999,1.069681,0.060006
2.039999,1.070067,0.058949
2.049999,1.070442,0.057914
2.059999,1.070807,0.056896
2.069999,1.071162,0.055894
2.079998,1.071507,0.054912
2.089998,1.071841,0.053946
2.099998,1.072166,0.052996
2.109998,1.072482,0.052063
2.119998,1.072788,0.051146
2.129998,1.073084,0.050246
2.139998,1.073372,0.049359
2.149998,1.073651,0.048491
2.159998,1.073921,0.047634
2.169998,1.074183,0.046795
2.179998,1.074436,0.045971
2.189998,1.074680,0.045159
2.199998,1.074917,0.044364
2.209998,1.075146,0.043579
2.219998,1.075366,0.042811
2.229998,1.075579,0.042057
2.239998,1.075785,0.041314
2.249998,1.075983,0.040584
2.259998,1.076173,0.039870
2.269998,1.076357,0.039164
2.279998,1.076533,0.038476
2.289998,1.076702,0.037795
2.299998,1.076865,0.037130
2.309998,1.077021,0.036473
2.319998,1.077170,0.035831
2.329998,1.077313,0.035199
2.339998,1.077449,0.034578
2.349998,1.077580,0.033969
2.359998,1.077704,0.033370
2.369998,1.077822,0.032784
2.379998,1.077934,0.032205
2.389998,1.078041,0.031639
2.399998,1.078141,0.031082
2.409998,1.078236,0.030536
2.419998,1.078326,0.029998
2.429998,1.078410,0.029474
2.439998,1.078489,0.028955
2.449998,1.078563,0.028447
2.459998,1.078632,0.027948
2.469998,1.078695,0.027459
2.479998,1.078754,0.026978
2.489998,1.078808,0.026506
2.499998,1.078857,0.026043
2.509998,1.078902,0.025586
2.519998,1.078942,0.025142
2.529998,1.078978,0.024703
2.539998,1.079009,0.024274
2.549998,1.079036,0.023851
2.559998,1.079058,0.023437
